Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Unhealthy for Sensitive Groups,Good,Moderate,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Moderate,Good,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Moderate,Good,Moderate,Good,null,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Moderate,Good,Good,null,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Moderate,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,null,Good,Good,null,Good,null,Good,null,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Moderate,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Good,Good,Good,Good,null,Good,null,Good,null,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good
Moderate,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Good,null,Good,Good,null,Good,null,Good,null,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good
Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,null,Good
Moderate,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,null,Good,Good,null,Good,null,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Moderate,Moderate,Good,Good,Moderate,Good,Good,Good,Moderate,Moderate,Moderate,Good,Moderate,Good,Good,null,Good,Good,Good,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Moderate,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,Good,Good,null,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,Good,null,Good,null,null,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Moderate,Good,Good,Good,Good,Good,null,Good,null,null,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Moderate,Good,Good,Good,Good,Good,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
Good,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,null,Moderate,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,null,Good
Good,Good,Good,null,Good,Good,Good,Moderate,Moderate,Good,Moderate,Good,Good,null,Good,Good,Moderate,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good
