Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1000355,110002972506,Denver,CO,DENVER COUNTY,39.74431,-104.98858,211120,W-ONSH,"303,411.57","255,939.57","242,958.73","261,382.84","354,850.70","243,116.64","163,013.80","151,519.07","17,728.25"
1009263,110067652267,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,"3,181.69","4,448.39","3,802.89","26,409.38","30,756.73","84,922.62"
1009238,110014409684,Oklahoma City,OK,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"678,142.28","811,064.85","767,413.32","808,767.97","747,874.26","171,273.57","63,896.15","94,675.78","148,424.60"
1008121,110014409684,Oklahoma City,OK,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,"21,834.36","27,839.93","28,858.97"
1009283,110004766129,Denver,CO,,39.7480769,-104.994564,211130,W-ONSH,,"83,992.52","102,680.94","57,168.14","135,085.12","149,043.06","154,266.21","302,760.28","348,357.76"
1009117,110067652070,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,104.25,"11,027.40","17,101.50","51,114.89"
1009170,110038073679,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"76,941.04","97,345.04","67,155.31","43,942.41","42,528.25","52,433.89","62,617.87","34,844.11","40,809.11"
1009284,110004766129,Tulsa,OK,TULSA COUNTY,36.0613546,-95.9515399,211111,W-ONSH,,,,,,"67,738.58","60,988.98","39,699.08","35,042.47"
1009169,110038073679,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"167,140.94","164,535.54","215,484.61","258,715.34","223,225.93","175,867.17","183,274.07","207,003.63","221,545.05"
1008285,110014409684,Oklahoma City,OK,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,"10,584.10","24,482.62","30,257.31"
1011963,110067409334,Tulsa,OK,,36.062167,-95.974333,211130,W-ONSH,,"116,308.19","126,415.23","116,979.28","182,937.32",,,,
1009119,110070082019,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,"9,918.25","8,034.08","6,316.45","29,500.83","56,195.89"
1009264,110067652276,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211120,W-ONSH,"3,863.30","5,330.55","1,133.45","18,037.05","25,093.65","30,200.28","26,478.50","66,499.96","207,116.26"
1008286,,Oklahoma City,OK,Oklahoma,35.4711808,-97.516602,211111,W-ONSH,,,508.75,731.80,"39,525.35","27,661.58","70,378.65","48,965.63",
1009265,110067652463,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211120,W-ONSH,"215,964.30","253,819.35","136,681.23","311,050.44","328,260.99","258,855.00","188,100.36","206,799.24","243,416.19"
1008558,110038073679,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"45,652.53","268,661.65","85,959.20","354,092.67","361,417.51","263,876.52","250,563.89","177,947.85","210,960.11"
1008287,110014409684,Oklahoma City,OK,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"356,696.32","447,672.78","406,376.59","252,802.37","353,194.72","381,235.41","357,671.76","396,990.19","392,734.62"
1009285,110011411891,Tulsa,OK,,36.072617,-95.923102,211111,W-ONSH,,,,,"4,871.20","7,746.54","94,746.28","184,780.92","251,716.76"
1009281,110002994190,Denver,CO,Denver,39.74846,-104.99402,211120,W-ONSH,"334,639.98","368,280.78","349,332.43","402,104.54","547,374.12","1,062,194.90","791,734.17","226,559.41","65,451.14"
1009276,,Oklahoma City,OK,,35.4711808,-97.516602,211120,W-ONSH,"54,343.21","78,816.52","221,400.29","210,443.35","188,286.70","135,593.95","204,624.76","220,281.89","280,102.87"
1008289,110014409684,Oklahoma City,OK,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"436,885.22","441,347.46","501,431.45","494,024.20","539,760.19","499,147.79","553,615.53","731,800.14","700,990.43"
1009270,110067652506,Oklahoma City,OK,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,209.35,"25,704.13","52,767.93","104,351.42"
1008290,110014409684,Oklahoma City,OK,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"735,790.08","676,403.48","269,530.82","355,198.68","1,951,072.34","1,073,197.73","508,022.91","551,620.58","292,748.38"
1009691,110043477573,Denver,CO,HARRIS COUNTY,29.75608,-95.36433,211120,W-ONSH,"268,413.58","310,933.81","164,413.68","88,018.45","126,172.06","126,477.81","227,417.35","29,190.65",
1009790,110038073679,Houston,TX,HARRIS COUNTY,29.78111,-95.62893,211111,W-ONSH,,,,,,,,"182,596.50","183,586.40"
1008294,110002994190,Denver,CO,Denver,39.74846,-104.99402,211111,W-ONSH,,,,"69,259.09","39,547.49","27,998.08","30,344.94","32,724.73",
1012569,110070082371,Denver,CO,,39.7312095,-104.9826965,211120,W-ONSH,"17,937.34","39,969.94","18,933.88","6,976.04",,,,,
1009278,,Oklahoma City,OK,,35.4711808,-97.516602,211120,W-ONSH,"215,074.06","186,275.39","134,923.81","63,692.55","130,588.37","167,380.40","54,374.22","44,507.80",
1011262,110058239204,Oklahoma City,OK,OKLAHOMA COUNTY,35.513564,-97.578898,211111,W-ONSH,,,,,,"40,443.72","129,389.42",,
1008622,110038073679,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"357,229.18","431,334.76","527,676.48","937,829.90","929,804.56","830,568.13","804,376.79","716,661.18","746,531.68"
1008621,110014409684,Oklahoma City,OK,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,"158,873.60","171,544.96","243,836.68"
1008295,110002994190,Denver,CO,Denver,39.74846,-104.99402,211120,W-ONSH,711.15,782.50,"14,575.10","438,420.85","446,839.29","221,093.12","229,904.49","232,967.30","211,218.40"
1009282,,Denver,CO,,39.7480769,-104.994564,211130,W-ONSH,0.00,"3,298.20","413,814.63","371,113.01","478,469.28","412,645.56","418,396.77","479,851.07","561,364.10"
1009076,110038073679,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"1,126,149.11","1,204,716.79","1,335,105.64","1,633,504.05","1,418,584.80","1,324,080.92","1,341,704.79","1,014,237.58","1,038,792.08"
1008974,110014409684,Oklahoma City,OK,Oklahoma,35.46735,-97.5145,211111,W-ONSH,,,,,"137,773.65","109,559.50","121,908.05","95,747.62","203,364.77"
1008499,110002701238,San Ramon,CA,CONTRA COSTA COUNTY,37.795963,-122.022317,211120,W-ONSH,"13,570.82","18,832.17","21,156.97","19,815.36","28,318.69","33,624.47","27,096.47","24,888.60","87,678.66"
1012999,,CANTON,OH,,40.8540649,-81.460856,211130,W-ONSH,,,"56,720.50","31,133.15",,,,,
1013736,,Midland,TX,,,,211130,W-ONSH,"125,612.59",,,,,,,,
1013417,,San Antonio,TX,,31.56434,-102.796,211120,W-ONSH,"101,231.62","77,006.54",,,,,,,
1011185,110058240265,San Antonio,TX,BEXAR COUNTY,29.61619,-98.48208,211120,W-ONSH,"263,473.42","156,215.29","19,234.29","34,091.51","100,296.60","66,927.88",,,
1008346,,Bakersfield,CA,,35.1268513,-119.1855785,211120,W-ONSH,"24,370.30","26,803.05","20,571.06","20,398.23","29,427.13","42,168.41","43,407.92","32,176.61",
1012509,110070082335,Dallas,TX,,32.9208727,-96.7734911,211130,W-ONSH,"221,479.44","147,400.43","136,581.80","226,287.59",,,,,
1012511,,Dallas,TX,,,,211130,W-ONSH,"92,622.18",,,,,,,,
1011895,110067410082,Lysite,WY,FREMONT COUNTY,43.182208,-107.541229,211130,W-ONSH,"101,497.75","125,238.12","105,817.29","105,440.34","53,018.37",,,,
1009511,110045464172,Houston,TX,HARRIS COUNTY,29.78434,-95.64861,211120,W-ONSH,,"44,493.23","93,523.93","102,351.42","286,282.81","215,002.04","154,368.93","96,266.25","176,289.09"
1011546,110063744756,Pittsburgh,PA,ALLEGHENY COUNTY,40.45917,-80.19482,211130,W-ONSH,"35,025.62","31,021.38","30,450.52","40,631.56","47,151.48",,,,
1011394,110062541496,Oklahoma City,OK,OKLAHOMA COUNTY,35.524086,-97.52574,211111,W-ONSH,,,,,"374,871.26","314,764.35",,,
1010839,110056382098,Houston,TX,HARRIS COUNTY,29.7555,-95.3616,211130,W-ONSH,"138,657.83","152,111.17","143,012.48","106,639.34","124,263.67","204,119.00","29,975.27","149,124.64",
