DayofYear,Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
1.0,27.5,16.875,19.3,-9999.0,27.470588235294116,34.285714285714285,26.833333333333332,30.0,-9999.0,0.0,12.0,18.857142857142858,24.176470588235293,62.0,13.333333333333334,14.571428571428571,25.636363636363637,23.46153846153846,25.90909090909091,22.61904761904762,33.083333333333336,14.5,12.5,30.0,67.0909090909091,75.33333333333333,46.8,22.833333333333332,24.0,16.285714285714285,16.416666666666668,23.555555555555557,12.181818181818182,-9999.0,16.2,35.0,31.0,113.2,23.875,53.416666666666664,18.666666666666668,37.42857142857143,17.75,73.29411764705883,48.714285714285715,36.54545454545455,56.0,32.4,29.0,20.375,34.285714285714285,8.0,32.75
2.0,33.25,16.6,17.166666666666668,37.666666666666664,27.3125,27.833333333333332,29.77777777777778,43.357142857142854,40.0,8.0,27.0,32.05,28.1875,-9999.0,20.0,17.5,28.5,34.214285714285715,29.714285714285715,20.333333333333332,52.611111111111114,37.0,26.0,39.0,56.60526315789474,34.5,53.5,47.0,32.2,30.625,21.8,-9999.0,33.0,-9999.0,34.666666666666664,45.0,48.81818181818182,42.0,60.0,29.61904761904762,31.8,47.333333333333336,18.785714285714285,35.2,29.5,29.0,44.81818181818182,36.53333333333333,32.375,36.888888888888886,10.0,-9999.0,9.333333333333334
3.0,78.75,21.423076923076923,33.75,-9999.0,23.428571428571427,35.07692307692308,36.5,52.0,43.333333333333336,35.25,39.75,39.95,29.266666666666666,60.0,19.2,21.5,36.2,41.857142857142854,44.8125,29.8125,52.64,49.4,38.666666666666664,51.55555555555556,66.51219512195122,45.333333333333336,51.0,42.5,-9999.0,37.0,21.333333333333332,25.0,34.0,30.0,26.833333333333332,37.5,53.6,59.333333333333336,61.0,21.76923076923077,22.142857142857142,33.666666666666664,13.214285714285714,19.0,17.5,19.0,37.48,30.625,29.714285714285715,32.470588235294116,7.0,-9999.0,14.333333333333334
4.0,59.333333333333336,17.208333333333332,17.083333333333332,-9999.0,25.125,24.25,17.545454545454547,43.214285714285715,31.0,36.0,55.75,23.761904761904763,23.6875,32.0,26.333333333333332,7.166666666666667,27.46153846153846,37.4,40.55555555555556,33.24,38.25,51.75,33.333333333333336,47.3,59.68181818181818,42.0,43.2,15.6,8.0,17.77777777777778,29.857142857142858,16.0,16.933333333333334,32.0,26.875,34.333333333333336,44.45454545454545,64.25,17.857142857142858,27.333333333333332,11.6,19.8,22.428571428571427,25.2,26.666666666666668,21.5,28.0,17.5,12.2,9.714285714285714,20.333333333333332,17.0,14.333333333333334
5.0,72.66666666666667,18.04,22.142857142857142,-9999.0,21.4,30.545454545454547,22.285714285714285,25.363636363636363,-9999.0,0.0,8.5,27.35,23.058823529411764,-9999.0,8.75,8.0,18.666666666666668,28.46153846153846,29.166666666666668,18.875,20.2,9.5,13.0,34.0,55.61290322580645,54.5,53.6,51.0,-9999.0,16.833333333333332,25.4,-9999.0,16.666666666666668,-9999.0,11.0,-9999.0,18.0,76.0,50.5,30.625,16.25,48.0,15.0,37.5,22.0,28.142857142857142,32.25,24.5,16.4,10.857142857142858,14.0,-9999.0,21.333333333333332
6.0,54.0,15.76,19.142857142857142,-9999.0,11.23076923076923,16.6,16.0,34.666666666666664,36.0,17.0,25.5,25.5,22.2,-9999.0,13.333333333333334,14.5,23.22222222222222,24.727272727272727,30.6,23.41176470588235,32.416666666666664,30.5,29.666666666666668,37.6,50.44827586206897,51.333333333333336,54.0,27.666666666666668,44.0,21.6,22.428571428571427,-9999.0,17.5,-9999.0,21.333333333333332,-9999.0,33.142857142857146,65.0,33.0,30.875,15.25,43.0,16.153846153846153,-9999.0,22.833333333333332,40.0,44.27272727272727,35.8,25.0,20.53846153846154,9.0,-9999.0,25.0
7.0,37.833333333333336,15.458333333333334,21.90909090909091,-9999.0,14.0,18.363636363636363,22.75,38.785714285714285,6.0,1.0,42.25,28.714285714285715,26.11764705882353,22.5,11.5,8.8,21.25,30.615384615384617,35.75,31.166666666666668,37.68181818181818,32.666666666666664,18.0,37.0,54.93939393939394,46.0,33.25,15.0,28.0,14.857142857142858,24.125,31.333333333333332,28.8,-9999.0,23.2,42.0,34.666666666666664,65.0,12.666666666666666,23.75,19.5,23.2,14.23076923076923,26.25,26.0,28.416666666666668,44.888888888888886,28.285714285714285,38.5,26.736842105263158,-9999.0,8.0,34.666666666666664
8.0,75.5,14.318181818181818,23.833333333333332,-9999.0,16.142857142857142,15.0,15.625,36.733333333333334,-9999.0,2.0,29.5,23.1,24.466666666666665,-9999.0,17.25,14.5,16.2,21.2,23.333333333333332,20.105263157894736,35.083333333333336,32.75,32.0,40.75,50.878787878787875,27.0,63.5,47.0,-9999.0,19.5,21.833333333333332,-9999.0,17.333333333333332,-9999.0,23.0,-9999.0,37.333333333333336,64.0,64.0,40.25,28.5,49.0,17.75,47.333333333333336,32.42857142857143,38.666666666666664,45.22222222222222,28.23076923076923,26.5,15.076923076923077,-9999.0,-9999.0,32.0
9.0,74.0,24.75,30.2,31.0,33.411764705882355,32.8,21.375,30.642857142857142,34.0,13.0,16.666666666666668,28.318181818181817,24.285714285714285,-9999.0,29.25,27.0,33.125,31.384615384615383,35.166666666666664,22.470588235294116,33.214285714285715,19.0,21.666666666666668,36.5,41.5,27.0,51.0,42.0,45.0,21.2,27.0,26.0,27.333333333333332,-9999.0,20.0,-9999.0,-9999.0,40.0,42.0,34.27272727272727,31.625,45.0,26.571428571428573,32.0,51.142857142857146,48.0,44.77777777777778,46.3125,34.857142857142854,26.823529411764707,26.0,-9999.0,30.333333333333332
10.0,52.833333333333336,22.555555555555557,27.916666666666668,36.0,27.9375,57.5,35.93333333333333,38.0625,29.666666666666668,29.0,37.25,24.9,21.375,24.5,28.4,28.5,48.38461538461539,47.4,35.05882352941177,29.96,48.85,36.5,30.333333333333332,39.2,44.09090909090909,32.0,2.0,14.4,32.333333333333336,28.2,28.0,23.25,31.153846153846153,-9999.0,20.5,-9999.0,38.75,37.0,9.0,37.59090909090909,30.727272727272727,30.75,29.0,33.23076923076923,43.57142857142857,36.0,43.15,35.36363636363637,32.42857142857143,28.2,28.0,30.5,21.333333333333332
